trading_signals_20251006_004721
sid,symbol,sector,industry,market_cap_cr,pe_ratio,beta,current_price,price_5d_ago,price_20d_ago,return_5d,return_20d,avg_volume,current_delivery,delivery_5d_avg,delivery_20d_avg,momentum_score,delivery_score,valuation_score,volatility_score,total_score,signal,confidence
457,DELHIVERY,Industrials,Integrated Freight & Logistics,32684.47,166.91,0.02,437.3,445.7,478.0,-1.88,-8.51,2553933.0,66.13,56.52,56.52,0,15,0,15,30,SELL,HIGH
651,GLAND,Healthcare,Drug Manufacturers - Specialty & Generic,32150.57,41.67,0.41,1951.4,1958.1,1876.8,-0.34,3.97,235172.0,55.84,53.73,53.73,15,0,0,15,30,SELL,HIGH
1007,KIOCL,Basic Materials,Steel,32137.88,,0.57,528.8,438.2,437.35,20.68,20.91,2216277.0,18.97,20.01,20.01,40,0,0,15,55,BUY,MEDIUM
1072,LICHSGFIN,Financial Services,Mortgage Finance,31818.39,5.78,0.37,578.45,564.95,557.1,2.39,3.83,1045316.0,43.7,40.64,40.64,30,0,15,15,60,BUY,MEDIUM
791,HONAUT,Industrials,Electrical Equipment & Parts,31573.08,61.73,0.37,35710.0,36100.0,36755.0,-1.08,-2.84,3365.0,58.38,56.15,56.15,0,0,0,15,15,SELL,HIGH
1029,KPITTECH,Technology,Software - Infrastructure,31454.98,39.22,-0.07,1157.7,1212.8,1216.4,-4.54,-4.83,1213745.0,36.08,32.9,32.9,0,0,0,15,15,SELL,HIGH
1283,NIACL,Financial Services,Insurance - Diversified,31424.06,26.26,1.09,190.68,187.89,200.01,1.48,-4.66,900355.0,41.78,31.99,31.99,15,0,10,0,25,SELL,HIGH
56,AEGISVOPAK,Energy,Oil & Gas Equipment & Services,31400.48,226.72,,283.4,243.51,243.98,16.38,16.16,863719.0,25.88,38.89,38.89,40,0,0,0,40,HOLD,MEDIUM
674,GODIGIT,Financial Services,Insurance - Property & Casualty,31262.2,67.99,,338.6,350.85,354.55,-3.49,-4.5,492687.0,62.26,65.68,65.68,0,15,0,0,15,SELL,HIGH
707,GRSE,Industrials,Aerospace & Defense,31215.99,55.55,0.24,2724.4,2611.5,2501.4,4.32,8.92,2049287.0,26.4,22.24,22.24,35,0,0,15,50,HOLD,LOW
347,CDSL,Financial Services,Capital Markets,31143.09,62.9,0.2,1490.1,1467.7,1518.6,1.53,-1.88,1536751.0,41.47,42.21,42.21,15,0,0,15,30,SELL,HIGH
55,AEGISLOG,Energy,Oil & Gas Refining & Marketing,30928.37,46.72,0.74,881.15,748.5,701.7,17.72,25.57,1795020.0,23.38,26.35,26.35,40,0,0,15,55,BUY,MEDIUM
647,GILLETTE,Consumer Defensive,Household & Personal Products,30911.96,57.8,0.11,9486.5,9529.0,10128.0,-0.45,-6.33,21607.0,51.27,44.66,44.66,0,0,0,15,15,SELL,HIGH
1257,NBCC,Industrials,Engineering & Construction,30550.5,53.87,0.73,113.12,105.18,103.29,7.55,9.52,9376114.0,34.28,31.66,31.66,35,0,0,15,50,HOLD,LOW
903,ITI,Technology,Communication Equipment,30450.28,,-0.24,315.85,303.35,315.25,4.12,0.19,870253.0,31.77,33.2,33.2,35,0,0,15,50,HOLD,LOW
1220,MSUMI,Consumer Cyclical,Auto Parts,30333.22,50.26,-0.14,45.74,46.85,42.87,-2.37,6.69,12038354.0,41.31,39.8,39.8,15,0,0,15,30,SELL,HIGH
75,AIAENG,Industrials,Specialty Industrial Machinery,30089.29,27.25,0.22,3224.3,3069.9,3075.3,5.03,4.85,112593.0,36.06,37.52,37.52,35,0,10,15,60,BUY,MEDIUM
720,GUJGASLTD,Utilities,Utilities - Regulated Gas,30058.55,26.24,0.2,436.65,424.05,442.35,2.97,-1.29,281109.0,49.54,55.47,55.47,15,0,10,15,40,HOLD,MEDIUM
79,AJANTPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,30017.66,32.26,0.16,2401.8,2465.2,2557.5,-2.57,-6.09,92631.0,63.09,57.31,57.31,0,15,10,15,40,HOLD,MEDIUM
134,APOLLOTYRE,Consumer Cyclical,Auto Parts,29984.48,36.09,0.42,473.15,479.9,485.65,-1.41,-2.57,1157268.0,60.26,55.46,55.46,0,15,0,15,30,SELL,HIGH
823,IGL,Utilities,Utilities - Regulated Gas,29281.04,17.58,0.61,209.03,202.26,219.12,3.35,-4.6,1543242.0,47.7,47.76,47.76,20,0,15,15,50,HOLD,LOW
105,AMBER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",28873.1,102.04,-0.19,8214.5,8162.5,7641.5,0.64,7.5,347647.0,43.43,41.97,41.97,30,0,0,15,45,HOLD,MEDIUM
1854,TATATECH,Technology,Information Technology Services,28691.94,42.01,,707.05,667.3,684.8,5.96,3.25,967412.0,43.21,43.69,43.69,35,0,0,0,35,HOLD,MEDIUM
1609,SANDUMA,Basic Materials,Steel,28349.63,19.19,0.86,194.54,162.1,467.55,20.01,-58.39,2627761.0,13.73,24.8,24.8,20,0,15,10,45,HOLD,MEDIUM
1005,KIMS,Healthcare,Medical Care Facilities,27653.6,73.52,-0.15,690.35,726.7,737.6,-5.0,-6.41,300049.0,69.03,64.56,64.56,0,15,0,15,30,SELL,HIGH
61,AFFLE,Communication Services,Advertising Agencies,27240.94,68.02,0.61,1938.6,2006.4,1904.4,-3.38,1.8,382953.0,52.49,49.29,49.29,15,0,0,15,30,SELL,HIGH
1695,SHYAMMETL,Basic Materials,Steel,27036.85,29.41,0.28,970.8,907.25,934.6,7.0,3.87,200922.0,28.66,39.02,39.02,35,0,10,15,60,BUY,MEDIUM
1789,SUMICHEM,Basic Materials,Agricultural Inputs,26869.01,48.32,0.01,538.3,535.45,590.55,0.53,-8.85,223053.0,51.2,59.22,59.22,15,0,0,15,30,SELL,HIGH
1769,STARHEALTH,Financial Services,Insurance - Diversified,26861.84,46.07,0.06,457.0,445.85,452.05,2.5,1.1,1296626.0,50.1,52.31,52.31,30,0,0,15,45,HOLD,MEDIUM
239,BANDHANBNK,Financial Services,Banks - Regional,26735.68,13.02,0.43,165.96,155.02,164.73,7.06,0.75,5844590.0,42.49,37.23,37.23,35,0,15,15,65,BUY,MEDIUM
1933,TVSHLTD,Consumer Cyclical,Auto Parts,26728.63,21.19,0.62,13211.0,12715.0,12159.0,3.9,8.65,13596.0,72.55,62.87,62.87,35,20,15,15,85,STRONG BUY,HIGH
1435,PPLPHARMA,Healthcare,Drug Manufacturers - Specialty & Generic,26235.33,271.88,0.08,198.47,187.73,201.16,5.72,-1.34,4508721.0,47.4,39.42,39.42,20,0,0,15,35,HOLD,MEDIUM
920,JBCHEPHARM,Healthcare,Drug Manufacturers - Specialty & Generic,26126.52,38.61,-0.09,1668.4,1670.1,1728.9,-0.1,-3.5,119302.0,76.29,73.77,73.77,0,20,0,15,35,HOLD,MEDIUM
1738,SONACOMS,Consumer Cyclical,Auto Parts,26106.06,44.04,0.08,419.7,407.1,450.0,3.1,-6.73,2694928.0,58.04,52.91,52.91,20,0,0,15,35,HOLD,MEDIUM
1054,LALPATHLAB,Healthcare,Diagnostics & Research,26100.46,50.76,0.06,3127.7,3194.5,3337.6,-2.09,-6.29,130920.0,56.38,60.74,60.74,0,0,0,15,15,SELL,HIGH
2088,ZFCVINDIA,Consumer Cyclical,Auto Parts,25737.11,59.17,-0.2,13569.0,12580.0,13802.0,7.86,-1.69,14280.0,62.37,51.29,51.29,20,15,0,15,50,HOLD,LOW
1832,SYNGENE,Healthcare,Diagnostics & Research,25528.3,50.52,0.04,635.5,609.45,651.9,4.27,-2.52,611022.0,62.96,52.41,52.41,20,15,0,15,50,HOLD,LOW
